Codigo	Descripción de productos
NP154	Servicios de alquiler de inmuebles no residenciales y otros servicios inmobiliarios
NP155	Servicios jurídicos
NP156	"Servicios de contabilidad, consultoría fiscal y otros"
NP157	"Servicios de consultoría en gestión financiera, recursos humanos, mercadeo, oficinas principales y afines"
NP158	"Servicios de arquitectura, ingeniería y conexos"
NP159	Servicios de investigación científica y desarrollo
NP160	"Servicios de publicidad, provisión de espacios de publicidad y estudios de mercado"
NP161	"Otros servicios profesionales, científicos y técnicos"
NP162	Servicios veterinarios
NP163	"Servicios de alquiler de automotores, maquinaria y equipo"
NP164	"Alquiler y arrendamiento de licencias, derechos de autor, patentes y franquicias"
NP165	Otros servicios de alquiler
NP166	Servicios de agencias de empleo
NP167	"Servicios de agencias de viajes, operadores turísticos, servicios de reservas y actividades conexas"
NP168	Servicios de seguridad  e investigación
NP169	Limpieza de edificios y cuidado del paisaje y mantenimiento
NP170	Servicios administrativos y de apoyo de oficina y otras actividades de apoyo a las empresas
NP171	Servicios públicos generales del gobierno 
NP172	Servicios a la comunidad en general
NP173	Servicios administrativos de los regímenes de seguridad social obligatoria
NP174	Servicios de enseñanza
NP175	Servicios de atención de la salud humana y de asistencia social
NP176	"Servicios artísticos, de entretenimiento y recreativos"
NP177	"Servicios de asociaciones empresariales, profesionales, sindicatos, políticas y afines"
NP178	"Servicios de reparación de computadoras, efectos personales y enseres domésticos"
NP179	"Servicios de lavado, secado y limpieza de prendas"
NP180	Servicios de peluquería y otros tratamientos de belleza
NP181	Servicios funerarios y conexos
NP182	Otros servicios n.c.p.
NP183	Servicios domésticos
NP184	Compras directas en el exterior por residentes (embajadas) 
NP185	Compras directas en el exterior por residentes (viajes) 
NP186	Compras directas en el territorio nacional por no residentes (embajadas) 
NP187	Compras directas en el territorio nacional por no residentes (viajes) 
